simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.05,-0.38286798442590986,0.08349271145586017
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.15000000000000002,-0.4030181413171202,0.04061429662505076
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.25,-0.4590862533480209,0.01879763326961223
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.35000000000000003,-0.4719949289438401,0.015100538990993343
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.45,-0.41885771185826837,0.012545643617497469
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.55,-0.20799807571875784,0.01444640378358096
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.6500000000000001,0.07996334825660845,0.014635798573382998
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.75,0.41845167485228685,0.015697366972260356
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.8500000000000001,0.7305193993234129,0.016145606647293115
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,0.95,0.9550505680177925,0.01679308613885765
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.05,1.0906082092945182,0.015604848235297309
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.1500000000000001,1.1333201301453597,0.015258980968473416
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.25,1.1023061105351415,0.01428554469445321
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.35,1.0513463747476437,0.01429086972898782
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.4500000000000002,0.9293559066997796,0.012310232429655423
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.55,0.8319100100728998,0.01119466308071377
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.6500000000000001,0.7395055653402827,0.010262880890808576
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.75,0.6620887409335563,0.009540249278758193
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.85,0.5752460469184164,0.00862741722219086
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,1.9500000000000002,0.5143145099915505,0.008234819504415753
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.05,0.453044700593505,0.007585544833672736
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.1500000000000004,0.4071622056715647,0.007085732492923841
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.25,0.3705938252768233,0.006773460663028268
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.3500000000000005,0.33301400345245113,0.006482465406687751
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.45,0.30361211346464057,0.006157741311912163
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.55,0.2759508818799752,0.005885764322676878
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.6500000000000004,0.24875772297610732,0.005510585299092833
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.75,0.233987405971132,0.005441833015513117
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.8500000000000005,0.21961290464312144,0.005137907428987786
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,2.95,0.20608863341703887,0.004948039110682249
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,3.05,0.19226432301222296,0.004844053884974267
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,3.1500000000000004,0.18133967734735412,0.0046164380560085715
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,3.25,0.16731429993106484,0.004472295788617017
highres,subhalo voids,0.25,10^11 M_sol / h,percentage_radius,"[0.0, 0.25]",0,8324.0,3.3500000000000005,0.15991044394458975,0.004338494290034731
