simulation,tracer sample,redshift,mass cut,void count,x_data,y_data,y_error
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.025,-0.6172939316005482,0.024645382713399146
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.07500000000000001,-0.6052167176092638,0.013829623979444901
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.125,-0.6241087912048148,0.008445257157817205
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.17500000000000002,-0.6274524240369642,0.005893962541137187
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.225,-0.6224043279899336,0.0044692077293643885
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.275,-0.6133645039839064,0.003234505711208495
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.32500000000000007,-0.5944734117977879,0.0035801938364778247
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.375,-0.5704905478974035,0.0030681602702380723
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.42500000000000004,-0.5386366771018818,0.0031448092234557874
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.475,-0.4813612772292025,0.0043893566976268335
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.525,-0.40947658726460745,0.004309384112765544
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.5750000000000001,-0.3263787735901641,0.00464172232164381
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.625,-0.22415232286939968,0.004958957407867806
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.675,-0.10832287352765069,0.005481242182820331
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.7250000000000001,0.013079556870577047,0.005964329885317569
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.775,0.13079690609219408,0.00626294663866432
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.8250000000000001,0.24080693199707182,0.006545131432652128
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.875,0.33266243868233736,0.00704430610811646
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.925,0.4063695960115494,0.007251443865592299
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,0.9750000000000001,0.457732655118819,0.00725304006658535
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.025,0.49030883918500257,0.007665441081976291
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.0750000000000002,0.5027366703840179,0.00710318902930356
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.125,0.5008657652662396,0.006840934635497677
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.1750000000000003,0.49657112282495364,0.00673919240184428
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.225,0.48456438746149,0.00659261922189618
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.275,0.4573023989077287,0.006370066128983984
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.3250000000000002,0.4334103051603473,0.006172458749315901
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.375,0.4058036099013307,0.005783121549139598
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.4250000000000003,0.376381375528241,0.00535485530626472
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.475,0.3521742710459397,0.005119494604674041
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.525,0.32604818949057934,0.004757738557723663
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.5750000000000002,0.3018320445022138,0.004579399891743756
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.625,0.27720149642313774,0.004347981829141644
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.6750000000000003,0.2548434043497547,0.0041002441220969925
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.725,0.23571735716116127,0.003889873657831266
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.775,0.22092909797847016,0.003734188034038511
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.8250000000000002,0.2025289164050441,0.0035147373158015438
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.875,0.1903162702667136,0.0034112834922882754
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.9250000000000003,0.17814959105662176,0.00330754520936859
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,1.975,0.16654927220350024,0.0032573532583803043
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.0250000000000004,0.15527944152826567,0.0031135364977684806
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.075,0.1470644363147111,0.0030119251280600013
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.125,0.1381799845967855,0.002909465890788531
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.175,0.131449221196841,0.0028656792296404324
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.225,0.1254867514207032,0.0027961928364550665
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.2750000000000004,0.11905539234212625,0.0027489606969024597
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.325,0.11522206276483793,0.002670734824886426
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.375,0.11133237088377879,0.0026111105982009352
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.4250000000000003,0.10584233076598126,0.002561668062392549
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.475,0.10154405461679383,0.0025394459770073994
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.5250000000000004,0.09734236849387057,0.0024817721305610547
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,all voids,2.575,0.09144532417129181,0.0023650671048514355
