simulation,tracer sample,redshift,mass cut,void count,x_data,y_data,y_error
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.025,-0.5672140562711951,0.01832270038994772
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.07500000000000001,-0.5559211952013912,0.008058322227740323
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.125,-0.5585977880905678,0.00500003213844149
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.17500000000000002,-0.5554225081080326,0.0033755068706022196
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.225,-0.5514964813652844,0.0025249785142691717
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.275,-0.5364598100211522,0.0022426096425611844
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.32500000000000007,-0.5214871984990326,0.0018846765716172996
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.375,-0.5018876797095649,0.0016349505357343866
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.42500000000000004,-0.46955667301625603,0.0014963396938070972
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.475,-0.4201199032958186,0.0014881034111836457
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.525,-0.36235666640001996,0.0014537022249066754
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.5750000000000001,-0.2923964003942445,0.001423190775234949
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.625,-0.20765299984911156,0.0014421636086263097
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.675,-0.11865227629271513,0.0014642524644415881
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.7250000000000001,-0.02645430758450973,0.0015414983959330258
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.775,0.06045014048225705,0.0014868642982487615
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.8250000000000001,0.13938977906553562,0.0015013961822329884
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.875,0.20385806773142168,0.001492616161776149
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.925,0.25388637242044987,0.0014599187407438607
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,0.9750000000000001,0.2874673600634885,0.0014331814625104969
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.025,0.3085107484852798,0.0013939430651373614
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.0750000000000002,0.31701991869531,0.0013578906500724842
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.125,0.3148995051725829,0.0013136916817793102
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.1750000000000003,0.3077475410661801,0.0012609334488610903
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.225,0.2929968611549765,0.0012194753143876273
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.275,0.27716482995593683,0.001176678969299758
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.3250000000000002,0.2573418141009238,0.0011162948304410533
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.375,0.23646900191201592,0.0010542733539460648
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.4250000000000003,0.21776746095505461,0.0010068714122862456
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.475,0.19912743787765508,0.0009699761391978534
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.525,0.18184250625934584,0.0009269962965967641
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.5750000000000002,0.1643892488211982,0.0008843655356970319
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.625,0.1494272761830442,0.0008491419616414152
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.6750000000000003,0.13530751522758466,0.0008164838629206035
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,all voids,1.725,0.12349937427792801,0.0007780733224674467
