simulation,tracer sample,redshift,mass cut,void count,bin property,bin range,x_data,y_data,y_error
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.025,-0.5650298787341002,0.03175623026780048
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.07500000000000001,-0.5425917887296563,0.012276264146785737
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.125,-0.5487056538789227,0.007393624518543235
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.17500000000000002,-0.5454681585685508,0.005430882111992696
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.225,-0.5413404107885502,0.004223958937120563
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.275,-0.5314086313133464,0.003565263616533629
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.32500000000000007,-0.5160944767467481,0.003120101291121933
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.375,-0.49325068960930085,0.002818241674286415
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.42500000000000004,-0.46532625799287863,0.002663943749556511
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.475,-0.42194196812333407,0.002574525587175047
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.525,-0.364772669922234,0.0025563630381147777
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,73232.0,percentage_radius,"[0.2, 0.4]",0.5750000000000001,-0.2893862440292855,0.002641590369850918
