simulation,tracer sample,redshift,mass cut,void count,bin property,bin range,x_data,y_data,y_error
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.025,-0.6984341616869902,0.09750087122094779
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.07500000000000001,-0.43550884538672474,0.1368369663959692
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.125,-0.5657085921207571,0.06959185435562482
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.17500000000000002,-0.620663308111165,0.047281980997022084
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.225,-0.49518462251743045,0.08954480615428376
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.275,-0.48957746079423736,0.10928825367131041
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.32500000000000007,-0.516999727595127,0.08495220726161658
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.375,-0.5512568093791153,0.059378502421154736
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.42500000000000004,-0.4987900750094135,0.066733626927658
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.475,-0.4727061867414668,0.08737735060048453
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.525,-0.39940898749311426,0.08080711259884449
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.5750000000000001,-0.25415272344945117,0.10152267896675592
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.625,-0.07602575745759321,0.14724742103799393
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.675,0.03318014409679737,0.1938231391802258
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.7250000000000001,0.2445963115604015,0.18298544999882627
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.775,0.5474099974795024,0.2825572696778265
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.8250000000000001,0.6901535318442842,0.32367320685959683
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.875,1.0167383251184243,0.3784517519837867
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.925,1.2270928474536675,0.42810527846306173
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",0.9750000000000001,1.5430617322269615,0.44684734424276634
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.025,1.5914759532169005,0.46033265250014593
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.0750000000000002,1.5591496129598466,0.42889983914214314
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.125,1.3812806252386087,0.3955398893406988
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.1750000000000003,1.5152192922675267,0.511570983233355
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.225,1.397309322514677,0.4299038871642083
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.275,1.3229326931729113,0.36436408807689047
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.3250000000000002,1.4506457188170727,0.37934595659410647
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.375,1.3104837218418006,0.3710781011953529
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.4250000000000003,1.1680575659743524,0.3487060052395816
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.475,1.0791891263235893,0.3307141752440912
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.525,1.1436309774682996,0.3639184854726518
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.5750000000000002,1.2794221407415818,0.44584430229225
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.625,1.3889190028179583,0.5559092346007166
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.6750000000000003,1.5664529362107964,0.6883465005867985
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.725,1.8121051922301197,0.8838492929216814
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.775,1.751481225515454,0.9030720612205512
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,60.0,percentage_radius,"[0.0, 0.25]",1.8250000000000002,1.7820836278320558,0.8996285283433744
