simulation,tracer sample,redshift,mass cut,void radius,x_data_units,x_data,y_data
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],0.5195000000000001,-1.0
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],1.5585000000000002,-1.0
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],2.5975,-0.8237826660570041
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],3.6365000000000007,-0.7888567079782121
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],4.6755,-0.8353379010696594
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],5.714500000000001,-0.7179231687432632
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],6.753500000000002,-0.7539432502423258
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],7.7925,-0.696224950954283
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],8.831500000000002,-0.7222749852142645
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],9.8705,-0.5799394917816405
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],10.909500000000001,-0.6055074185747437
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],11.948500000000003,-0.6429786508778768
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],12.9875,-0.609741853186655
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],14.026500000000002,-0.5307314141798345
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],15.065500000000002,-0.5985074689402312
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],16.1045,-0.46442313761384457
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],17.143500000000003,-0.19677680342262305
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],18.1825,0.35892518569533527
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],19.221500000000002,0.5800649359004226
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],20.260500000000004,0.27254346413582375
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],21.2995,0.27269627226818205
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],22.338500000000003,0.0041974098669343984
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],23.3775,0.0051000535102811995
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],24.416500000000006,0.1807022212108942
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],25.455500000000004,0.39799737222517306
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],26.4945,0.702952513209923
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],27.533500000000004,0.5191322514193524
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],28.5725,0.28622862302890373
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],29.611500000000007,0.523167583257238
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],30.650500000000005,0.1754571299018992
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],31.6895,0.0020795579077750315
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],32.728500000000004,-0.0020467678682297707
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],33.7675,0.20936953512619128
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],34.80650000000001,0.30961875475366574
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],35.8455,0.2241783481788131
highres,CDM density around zmin voids,0.25,10^11 M_sol / h,20.78,r [Mpc/h],36.8845,0.04726817559421903
