simulation,tracer sample,redshift,mass cut,void radius,x_data_units,x_data,y_data
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],1.7545000000000002,-1.0
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],5.263500000000001,-0.5059809368674375
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],8.7725,-0.8179929767406349
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],12.281500000000003,-0.48595313701071197
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],15.790500000000002,-0.7448917952676111
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],19.299500000000002,-0.505980936867438
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],22.808500000000006,-0.27842097471582383
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],26.317500000000003,0.28912666770094697
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],29.826500000000006,0.11552691675094784
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],33.3355,0.12293632062604676
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],36.844500000000004,0.6193676238635337
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],40.35350000000001,0.20642690606301994
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],43.862500000000004,0.07283244307146242
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],47.371500000000005,0.22646780207316142
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],50.88050000000001,0.15088434675890294
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],54.389500000000005,0.11514011823612291
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],57.89850000000001,-0.022241340164805834
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],61.407500000000006,0.01787279221056326
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],64.91650000000001,-0.05212798062053203
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],68.42550000000001,-0.07560850150041831
midres,CDM density around zmin voids,0.00,10^12 M_sol / h,35.09,r [Mpc/h],71.9345,-0.0004047267385151043
