simulation,tracer sample,redshift,mass cut,void radius,x_data_units,x_data,y_data
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.053700000000000005,-1.0
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.1611,-0.8985092132328396
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.2685,-0.9252173150136713
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.37590000000000007,-0.9135956815360662
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.4833,-0.9242978557720362
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.5907,-0.871184770641681
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.6981,-0.9160902944051037
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.8055000000000001,-0.9201285524258442
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],0.9128999999999999,-0.8919614205381841
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.0203,-0.914800169780336
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.1277000000000001,-0.91521993189994
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.2350999999999999,-0.9078402301522385
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.3425,-0.9151718797170003
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.4499000000000002,-0.9181765320579202
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.5573000000000001,-0.9206248759594394
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.6647,-0.9083626876762534
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.7721,-0.901304247140136
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.8795,-0.8693540797110437
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],1.9869,-0.8678742143060436
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],2.0943,-0.8359336054408176
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],2.2017,-0.8140811122663433
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],2.3091,-0.8284095926683556
ultra-hr,CDM density around zmin voids,0.07,2*10^9 M_sol / h,5.37,r [Mpc/h],2.4165,-0.8377082810681815
