simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
highres,subhalos,0.25,10597662487,0.001910369,1.20E-05
highres,subhalos,0.25,11902282448,0.002173281,1.28E-05
highres,subhalos,0.25,13367506999,0.011223359,2.91E-05
highres,subhalos,0.25,15013107289,0.030739533,4.82E-05
highres,subhalos,0.25,16861288383,0.025242135,4.37E-05
highres,subhalos,0.25,18936988890,0.042144245,5.65E-05
highres,subhalos,0.25,21268217473,0.048920341,6.08E-05
highres,subhalos,0.25,23886430790,0.127312865,9.81E-05
highres,subhalos,0.25,26826957953,0.164364332,0.000111515
highres,subhalos,0.25,30129477247,0.144995464,0.000104738
highres,subhalos,0.25,33838551534,0.129607728,9.90E-05
highres,subhalos,0.25,38004229564,0.117699663,9.44E-05
highres,subhalos,0.25,42682721312,0.106784914,8.99E-05
highres,subhalos,0.25,47937156456,0.097438105,8.59E-05
highres,subhalos,0.25,53838436220,0.086717873,8.10E-05
highres,subhalos,0.25,60466190091,0.078517663,7.71E-05
highres,subhalos,0.25,67909850300,0.070427006,7.30E-05
highres,subhalos,0.25,76269858590,0.063625261,6.94E-05
highres,subhalos,0.25,85659021537,0.059246621,6.70E-05
highres,subhalos,0.25,96204032711,0.058166071,6.63E-05
highres,subhalos,0.25,1.08047E+11,0.059503934,6.71E-05
highres,subhalos,0.25,1.21348E+11,0.059454756,6.71E-05
highres,subhalos,0.25,1.36287E+11,0.055774214,6.50E-05
highres,subhalos,0.25,1.53064E+11,0.050053776,6.15E-05
highres,subhalos,0.25,1.71907E+11,0.043830362,5.76E-05
highres,subhalos,0.25,1.9307E+11,0.038426932,5.39E-05
highres,subhalos,0.25,2.16838E+11,0.033453316,5.03E-05
highres,subhalos,0.25,2.43531E+11,0.029447519,4.72E-05
highres,subhalos,0.25,2.73511E+11,0.026200195,4.45E-05
highres,subhalos,0.25,3.07181E+11,0.023783824,4.24E-05
highres,subhalos,0.25,3.44997E+11,0.022213615,4.10E-05
highres,subhalos,0.25,3.87468E+11,0.020643481,3.95E-05
highres,subhalos,0.25,4.35167E+11,0.018530424,3.74E-05
highres,subhalos,0.25,4.88737E+11,0.016154531,3.50E-05
highres,subhalos,0.25,5.48903E+11,0.014023846,3.26E-05
highres,subhalos,0.25,6.16476E+11,0.0121535,3.03E-05
highres,subhalos,0.25,6.92367E+11,0.010544932,2.82E-05
highres,subhalos,0.25,7.776E+11,0.009171963,2.63E-05
highres,subhalos,0.25,8.73326E+11,0.0079634,2.45E-05
highres,subhalos,0.25,9.80837E+11,0.007009199,2.30E-05
highres,subhalos,0.25,1.10158E+12,0.006138601,2.16E-05
highres,subhalos,0.25,1.23719E+12,0.005387693,2.02E-05
highres,subhalos,0.25,1.3895E+12,0.004725609,1.89E-05
highres,subhalos,0.25,1.56055E+12,0.004189722,1.78E-05
highres,subhalos,0.25,1.75266E+12,0.003717918,1.68E-05
highres,subhalos,0.25,1.96842E+12,0.003266844,1.57E-05
highres,subhalos,0.25,2.21074E+12,0.002908754,1.48E-05
highres,subhalos,0.25,2.48289E+12,0.002565417,1.39E-05
highres,subhalos,0.25,2.78855E+12,0.002294636,1.32E-05
highres,subhalos,0.25,3.13183E+12,0.001998889,1.23E-05
highres,subhalos,0.25,3.51737E+12,0.001772898,1.16E-05
highres,subhalos,0.25,3.95038E+12,0.001599943,1.10E-05
highres,subhalos,0.25,4.43669E+12,0.001433117,1.04E-05
highres,subhalos,0.25,4.98286E+12,0.001252067,9.73E-06
highres,subhalos,0.25,5.59628E+12,0.001127155,9.23E-06
highres,subhalos,0.25,6.2852E+12,0.000996418,8.68E-06
highres,subhalos,0.25,7.05894E+12,0.00086901,8.11E-06
highres,subhalos,0.25,7.92793E+12,0.000773983,7.65E-06
highres,subhalos,0.25,8.90389E+12,0.00067593,7.15E-06
highres,subhalos,0.25,1E+13,0.000607611,6.78E-06
highres,subhalos,0.25,1.1231E+13,0.000525143,6.30E-06
