simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
midres,subhalos,0,10597662487,1.15E-07,1.09E-08
midres,subhalos,0,11902282448,1.39E-07,1.19E-08
midres,subhalos,0,13367506999,1.09E-07,1.06E-08
midres,subhalos,0,15013107289,1.32E-07,1.16E-08
midres,subhalos,0,16861288383,1.90E-07,1.39E-08
midres,subhalos,0,18936988890,1.57E-07,1.27E-08
midres,subhalos,0,21268217473,4.13E-07,2.05E-08
midres,subhalos,0,23886430790,1.18E-06,3.47E-08
midres,subhalos,0,26826957953,1.09E-06,3.34E-08
midres,subhalos,0,30129477247,1.00E-06,3.20E-08
midres,subhalos,0,33838551534,1.56E-06,3.99E-08
midres,subhalos,0,38004229564,3.19E-06,5.70E-08
midres,subhalos,0,42682721312,2.69E-06,5.24E-08
midres,subhalos,0,47937156456,3.54E-06,6.01E-08
midres,subhalos,0,53838436220,4.02E-06,6.41E-08
midres,subhalos,0,60466190091,4.22E-06,6.57E-08
midres,subhalos,0,67909850300,4.51E-06,6.79E-08
midres,subhalos,0,76269858590,5.08E-06,7.20E-08
midres,subhalos,0,85659021537,5.67E-06,7.61E-08
midres,subhalos,0,96204032711,5.96E-06,7.80E-08
midres,subhalos,0,1.08047E+11,6.56E-06,8.18E-08
midres,subhalos,0,1.21348E+11,7.30E-06,8.63E-08
midres,subhalos,0,1.36287E+11,8.28E-06,9.20E-08
midres,subhalos,0,1.53064E+11,9.63E-06,9.92E-08
midres,subhalos,0,1.71907E+11,1.10E-05,1.06E-07
midres,subhalos,0,1.9307E+11,1.26E-05,1.14E-07
midres,subhalos,0,2.16838E+11,1.45E-05,1.22E-07
midres,subhalos,0,2.43531E+11,1.67E-05,1.31E-07
midres,subhalos,0,2.73511E+11,0.001294573,1.15E-06
midres,subhalos,0,3.07181E+11,0.001176772,1.10E-06
midres,subhalos,0,3.44997E+11,0.001497163,1.24E-06
midres,subhalos,0,3.87468E+11,0.001935425,1.41E-06
midres,subhalos,0,4.35167E+11,0.002864207,1.71E-06
midres,subhalos,0,4.88737E+11,0.009093947,3.05E-06
midres,subhalos,0,5.48903E+11,0.011600907,3.44E-06
midres,subhalos,0,6.16476E+11,0.010177488,3.22E-06
midres,subhalos,0,6.92367E+11,0.009553406,3.12E-06
midres,subhalos,0,7.776E+11,0.008478165,2.94E-06
midres,subhalos,0,8.73326E+11,0.007853729,2.83E-06
midres,subhalos,0,9.80837E+11,0.00716208,2.70E-06
midres,subhalos,0,1.10158E+12,0.006344657,2.55E-06
midres,subhalos,0,1.23719E+12,0.005669923,2.41E-06
midres,subhalos,0,1.3895E+12,0.005156216,2.29E-06
midres,subhalos,0,1.56055E+12,0.004577427,2.16E-06
midres,subhalos,0,1.75266E+12,0.004138308,2.06E-06
midres,subhalos,0,1.96842E+12,0.003764394,1.96E-06
midres,subhalos,0,2.21074E+12,0.003495856,1.89E-06
midres,subhalos,0,2.48289E+12,0.003234872,1.82E-06
midres,subhalos,0,2.78855E+12,0.002952543,1.74E-06
midres,subhalos,0,3.13183E+12,0.002705162,1.66E-06
midres,subhalos,0,3.51737E+12,0.002456545,1.58E-06
midres,subhalos,0,3.95038E+12,0.002225033,1.51E-06
midres,subhalos,0,4.43669E+12,0.002004349,1.43E-06
midres,subhalos,0,4.98286E+12,0.001806267,1.36E-06
midres,subhalos,0,5.59628E+12,0.001619943,1.29E-06
midres,subhalos,0,6.2852E+12,0.001445334,1.21E-06
midres,subhalos,0,7.05894E+12,0.001294472,1.15E-06
midres,subhalos,0,7.92793E+12,0.001152467,1.08E-06
midres,subhalos,0,8.90389E+12,0.001030056,1.03E-06
midres,subhalos,0,1E+13,0.000922306,9.70E-07
midres,subhalos,0,1.1231E+13,0.000821814,9.16E-07
midres,subhalos,0,1.26136E+13,0.000732585,8.65E-07
midres,subhalos,0,1.41664E+13,0.000650329,8.15E-07
midres,subhalos,0,1.59104E+13,0.000576106,7.67E-07
midres,subhalos,0,1.7869E+13,0.000506093,7.19E-07
midres,subhalos,0,2.00688E+13,0.000443787,6.73E-07
midres,subhalos,0,2.25393E+13,0.000388074,6.30E-07
midres,subhalos,0,2.5314E+13,0.000339009,5.88E-07
midres,subhalos,0,2.84303E+13,0.000295877,5.50E-07
midres,subhalos,0,3.19302E+13,0.000257148,5.12E-07
midres,subhalos,0,3.5861E+13,0.000224049,4.78E-07
midres,subhalos,0,4.02756E+13,0.000194952,4.46E-07
midres,subhalos,0,4.52337E+13,0.000169164,4.16E-07
midres,subhalos,0,5.08022E+13,0.000146269,3.86E-07
midres,subhalos,0,5.70562E+13,0.000126942,3.60E-07
midres,subhalos,0,6.408E+13,0.000109996,3.35E-07
midres,subhalos,0,7.19686E+13,9.47E-05,3.11E-07
midres,subhalos,0,8.08282E+13,8.16E-05,2.89E-07
midres,subhalos,0,9.07785E+13,6.97E-05,2.67E-07
midres,subhalos,0,1.01954E+14,5.94E-05,2.46E-07
midres,subhalos,0,1.14505E+14,5.06E-05,2.27E-07
midres,subhalos,0,1.28601E+14,4.23E-05,2.08E-07
midres,subhalos,0,1.44432E+14,3.58E-05,1.91E-07
midres,subhalos,0,1.62212E+14,3.03E-05,1.76E-07
midres,subhalos,0,1.82181E+14,2.52E-05,1.60E-07
midres,subhalos,0,2.04609E+14,2.07E-05,1.46E-07
midres,subhalos,0,2.29797E+14,1.70E-05,1.32E-07
midres,subhalos,0,2.58086E+14,1.39E-05,1.19E-07
midres,subhalos,0,2.89858E+14,1.13E-05,1.07E-07
midres,subhalos,0,3.25541E+14,9.13E-06,9.66E-08
midres,subhalos,0,3.65616E+14,7.13E-06,8.54E-08
midres,subhalos,0,4.10625E+14,5.77E-06,7.68E-08
midres,subhalos,0,4.61175E+14,4.39E-06,6.70E-08
midres,subhalos,0,5.17947E+14,3.33E-06,5.83E-08
midres,subhalos,0,5.81709E+14,2.51E-06,5.06E-08
midres,subhalos,0,6.5332E+14,1.90E-06,4.41E-08
midres,subhalos,0,7.33747E+14,1.36E-06,3.73E-08
midres,subhalos,0,8.24074E+14,9.87E-07,3.18E-08
midres,subhalos,0,9.25522E+14,6.51E-07,2.58E-08
midres,subhalos,0,1.03946E+15,4.66E-07,2.18E-08
midres,subhalos,0,1.16742E+15,2.90E-07,1.72E-08
midres,subhalos,0,1.31113E+15,2.09E-07,1.46E-08
midres,subhalos,0,1.47254E+15,1.31E-07,1.16E-08
midres,subhalos,0,1.65382E+15,7.86E-08,8.96E-09
midres,subhalos,0,1.85741E+15,4.70E-08,6.93E-09
midres,subhalos,0,2.08606E+15,2.04E-08,4.57E-09
midres,subhalos,0,2.34287E+15,1.63E-08,4.08E-09
midres,subhalos,0,2.63129E+15,6.13E-09,2.50E-09
midres,subhalos,0,2.95521E+15,2.04E-09,1.44E-09
midres,subhalos,0,3.31901E+15,0,0
midres,subhalos,0,3.72759E+15,2.04E-09,1.44E-09
midres,subhalos,0,4.18648E+15,0,0
midres,subhalos,0,4.70185E+15,1.02E-09,1.02E-09
midres,subhalos,0,5.28067E+15,0,0
midres,subhalos,0,5.93074E+15,0,0
midres,subhalos,0,6.66085E+15,0,0
midres,subhalos,0,7.48083E+15,0,0
midres,subhalos,0,8.40175E+15,0,0
midres,subhalos,0,9.43604E+15,0,0
midres,subhalos,0.25,10597662487,1.83E-07,1.37E-08
midres,subhalos,0.25,11902282448,2.18E-07,1.49E-08
midres,subhalos,0.25,13367506999,2.76E-07,1.68E-08
midres,subhalos,0.25,15013107289,2.60E-07,1.63E-08
midres,subhalos,0.25,16861288383,2.61E-07,1.63E-08
midres,subhalos,0.25,18936988890,2.95E-07,1.74E-08
midres,subhalos,0.25,21268217473,4.68E-07,2.19E-08
midres,subhalos,0.25,23886430790,1.23E-06,3.55E-08
midres,subhalos,0.25,26826957953,1.11E-06,3.37E-08
midres,subhalos,0.25,30129477247,1.14E-06,3.41E-08
