simulation,tracer sample,mass cut,redshift,tracer count
midres,subhalos,10^12 M_sol / h,0.00E+00,65462423
midres,subhalos,10^12 M_sol / h,0.25,62614683
midres,subhalos,10^12 M_sol / h,0.29,62073368
midres,subhalos,10^12 M_sol / h,0.38,60845849
midres,subhalos,10^12 M_sol / h,0.47,59433327
midres,subhalos,10^12 M_sol / h,0.67,55718243
midres,subhalos,10^12 M_sol / h,0.9,50948087
midres,subhalos,10^12 M_sol / h,1.18,44411745
midres,subhalos,10^12 M_sol / h,1.98,24536347
midres,subhalos,10^12 M_sol / h,2.79,9902383
midres,CDM subsample,N/A,0.00E+00,62063652
midres,CDM subsample,N/A,0.29,62063627
midres,CDM subsample,N/A,0.47,62063624
midres,CDM subsample,N/A,0.67,62063633
midres,CDM subsample,N/A,0.9,62063605
midres,CDM subsample,N/A,1.18,62063659
midres,CDM subsample,N/A,1.98,62063767
midres,CDM subsample,N/A,2.79,62063767
highres,subhalos,10^11 M_sol / h,0.25,8200397
highres,subhalos,10^11 M_sol / h,0.29,8206452
highres,subhalos,10^11 M_sol / h,0.34,8208539
highres,subhalos,10^11 M_sol / h,0.38,8206456
highres,subhalos,10^11 M_sol / h,0.42,8198202
highres,subhalos,10^11 M_sol / h,0.47,8187781
highres,subhalos,10^11 M_sol / h,0.57,8104557
highres,subhalos,10^11 M_sol / h,0.62,8073627
highres,subhalos,10^11 M_sol / h,0.67,8037129
highres,subhalos,10^11 M_sol / h,0.73,7992933
highres,subhalos,10^11 M_sol / h,0.78,7940029
highres,subhalos,10^11 M_sol / h,0.84,7881412
highres,subhalos,10^11 M_sol / h,0.9,7813609
highres,subhalos,10^11 M_sol / h,0.96,7736858
highres,subhalos,10^11 M_sol / h,1.04,7628138
highres,subhalos,10^11 M_sol / h,1.18,7421575
highres,subhalos,10^11 M_sol / h,1.32,7173792
highres,subhalos,10^11 M_sol / h,1.71,6438837
highres,subhalos,10^11 M_sol / h,1.98,5824612
highres,subhalos,10^11 M_sol / h,2.79,3861873
highres,subhalos,10^11 M_sol / h,3.42,2500549
highres,subhalos,10^11 M_sol / h,4.23,1225752
highres,subhalos,10^11 M_sol / h,5.04,507774
highres,CDM subsample,N/A,0.25,8205695
highres,CDM subsample,N/A,0.47,8205694
highres,CDM subsample,N/A,0.67,8205691
highres,CDM subsample,N/A,0.9,8205687
highres,CDM subsample,N/A,1.18,8205687
highres,CDM subsample,N/A,1.98,8205692
highres,CDM subsample,N/A,2.79,8205673
highres,CDM subsample,N/A,4.23,8205659
highres,CDM subsample,N/A,5.04,8208157
