simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
highres,CDM subsample,0.25,N/A,0,0.5,,0.0,0.01,,0.0,0.015,,0.0,0.005,,0.0
highres,CDM subsample,0.25,N/A,1,1.5,1.1444091796875e-08,8.092194914091655e-09,0.03,,0.0,0.045,,0.0,0.015,2.8990549080999593e-05,2.8990549080999593e-05
highres,CDM subsample,0.25,N/A,2,2.5,1.239776611328125e-06,1.0873560191146258e-07,0.05,0.00024158790900832998,0.00010804139741693196,0.075,,0.0,0.025,0.00120793954504165,0.00024158790900832998
highres,CDM subsample,0.25,N/A,3,3.5,9.519577026367187e-06,3.5651096137897805e-07,0.07,0.010484915250961518,0.0008421686591476887,0.105,,0.0,0.035,0.005073346089174928,0.0005858195460554561
highres,CDM subsample,0.25,N/A,4,4.5,3.6151885986328126e-05,7.877742397327721e-07,0.09,0.0781005392242129,0.0026062487500037737,0.135,,0.0,0.045,0.016524612976169764,0.001198821425647088
highres,CDM subsample,0.25,N/A,5,5.5,7.976913452148438e-05,1.293685837586578e-06,0.11,0.24416806787653905,0.005094579796661812,0.16499999999999998,,0.0,0.055,0.04177538122572044,0.002107289225349232
highres,CDM subsample,0.25,N/A,6,6.5,0.00013042449951171874,1.798317235855817e-06,0.13,0.4971009450918996,0.007902446488475871,0.195,0.00012562571268433158,0.00012562571268433158,0.065,0.08931988171855967,0.003349757274456501
highres,CDM subsample,0.25,N/A,7,7.5,0.00017217636108398437,2.219460565935456e-06,0.15000000000000002,0.7566533310140898,0.010472773159499307,0.22499999999999998,,0.0,0.07500000000000001,0.1701745231054677,0.004966614976231178
highres,CDM subsample,0.25,N/A,8,8.5,0.00020148849487304688,2.5560222394964452e-06,0.16999999999999998,0.9363947353162871,0.012402851259117798,0.255,0.0006571191125026569,0.00032855955625132844,0.08499999999999999,0.27648286658549326,0.006739476535919724
highres,CDM subsample,0.25,N/A,9,9.5,0.00021921348571777346,2.818548261655155e-06,0.19,1.0177325525212106,0.013669770600230096,0.28500000000000003,0.002203281730155972,0.0006360326500030672,0.095,0.4145841788910145,0.008724705090346823
highres,CDM subsample,0.25,N/A,10,10.5,0.00021425056457519533,2.9294472089214897e-06,0.21000000000000002,1.0132486809300174,0.014339541460950504,0.31499999999999995,0.005276279932741931,0.001034763628316505,0.10500000000000001,0.5704470342668293,0.010759321968189366
highres,CDM subsample,0.25,N/A,11,11.5,0.00019464683532714844,2.922150856916507e-06,0.22999999999999998,0.9557217680369537,0.014574620326138465,0.345,0.009557217680369524,0.0014574620326138446,0.11499999999999999,0.7396841962853445,0.012821967775755673
highres,CDM subsample,0.25,N/A,12,12.5,0.00017595291137695312,2.8965649697279814e-06,0.25,0.8844533348794951,0.014617565864020632,0.375,0.023192439264799657,0.0023670684203853576,0.125,0.8885603293326367,0.014651465182404951
highres,CDM subsample,0.25,N/A,13,13.5,0.00014259910583496095,2.7099128506234547e-06,0.27,0.7858758044877363,0.014319453192567992,0.405,0.04148547573491046,0.0032900122315842337,0.135,0.9481648982431718,0.0157286486760496
highres,CDM subsample,0.25,N/A,14,14.5,0.00010526084899902343,2.4129452866532513e-06,0.29000000000000004,0.6580081560078094,0.013579451566378171,0.43499999999999994,0.07594557507585865,0.004613365139458803,0.14500000000000002,1.0475445004928414,0.017133766052505797
highres,CDM subsample,0.25,N/A,15,15.5,7.621574401855468e-05,2.1228447540340556e-06,0.31,0.5814634429176083,0.01319804630620264,0.46499999999999997,0.11263794669604366,0.005808858567863244,0.155,1.0472932490674698,0.017712611293632843
highres,CDM subsample,0.25,N/A,16,16.5,5.343818664550781e-05,1.833993817836778e-06,0.33,0.5220328173015593,0.012902488059696342,0.495,0.18559749521655922,0.0076932636922341785,0.165,1.0698962138342891,0.018471211808815474
highres,CDM subsample,0.25,N/A,17,17.5,3.41796875e-05,1.5105430506304423e-06,0.35,0.382868518196402,0.011379585521039917,0.525,0.25163796602307625,0.009225495436781363,0.175,1.0562706557662223,0.01890119326134695
highres,CDM subsample,0.25,N/A,18,18.5,2.3853302001953125e-05,1.2974485845593618e-06,0.37,0.33967260006571165,0.011020434380368175,0.5549999999999999,0.30463268974314456,0.010436543982819797,0.185,0.9904137917705487,0.018818144317922263
highres,CDM subsample,0.25,N/A,19,19.5,1.0637283325195312e-05,8.895343188876238e-07,0.39,0.27512031077868593,0.010182659541913474,0.585,0.3829071722618423,0.012012866403236492,0.195,0.9591523163448707,0.019012695230843923
highres,CDM subsample,0.25,N/A,20,20.5,6.568908691406251e-06,7.167266978957726e-07,0.41000000000000003,0.22742119402408195,0.009492377236217882,0.615,0.4873311300516028,0.013895417455920002,0.20500000000000002,0.8767998299221137,0.018638448152911734
