simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
highres,subhalos,0.25,10^11 M_sol / h,0,0.5,,0.0,0.01,0.00010525049618091056,3.978094832297755e-05,0.015,,0.0,0.005,,0.0
highres,subhalos,0.25,10^11 M_sol / h,1,1.5,4.00543212890625e-08,1.513911043776278e-08,0.03,0.016509292115234258,0.00086295452290141,0.045,,0.0,0.015,0.0001353220665183136,7.812823153164478e-05
highres,subhalos,0.25,10^11 M_sol / h,2,2.5,1.2493133544921876e-06,1.0915301458606336e-07,0.05,0.12554880615865763,0.0030722344291968713,0.075,,0.0,0.025,0.0016539363685571665,0.0003526204185829848
highres,subhalos,0.25,10^11 M_sol / h,3,3.5,8.237838745117187e-06,3.316429002327711e-07,0.07,0.3062789438864497,0.005677676533038325,0.105,,0.0,0.035,0.0058940277861309915,0.000787622592993853
highres,subhalos,0.25,10^11 M_sol / h,4,4.5,2.4049758911132812e-05,6.425274103161473e-07,0.09,0.4740331990136524,0.0080091917250628,0.135,,0.0,0.045,0.021651530642930166,0.0017117037915147298
highres,subhalos,0.25,10^11 M_sol / h,5,5.5,4.643058776855469e-05,9.869916408518206e-07,0.11,0.5854934744692372,0.009840573921157081,0.16499999999999998,,0.0,0.055,0.05457990016238651,0.0030045246191500955
highres,subhalos,0.25,10^11 M_sol / h,6,6.5,7.146072387695313e-05,1.3311298516014415e-06,0.13,0.6335027365129001,0.011127791499210532,0.195,,0.0,0.065,0.1303752931978107,0.005048151512957368
highres,subhalos,0.25,10^11 M_sol / h,7,7.5,8.997917175292968e-05,1.6044702407237953e-06,0.15000000000000002,0.6459373308474172,0.012069905719846931,0.22499999999999998,0.00022553677753052264,0.00022553677753052264,0.07500000000000001,0.22508570397546174,0.007124963462559988
highres,subhalos,0.25,10^11 M_sol / h,8,8.5,0.0001040191650390625,1.8365222045486988e-06,0.16999999999999998,0.6065586094905878,0.012451563920124876,0.255,0.0007668250436037764,0.0004427266453459868,0.08499999999999999,0.3504390449269262,0.009464414683549395
highres,subhalos,0.25,10^11 M_sol / h,9,9.5,0.00011361122131347656,2.0290953514421003e-06,0.19,0.5639321585373184,0.012692678713506279,0.28500000000000003,0.000285679918205329,0.000285679918205329,0.095,0.5265080892524202,0.01226428913031959
highres,subhalos,0.25,10^11 M_sol / h,10,10.5,0.00011034965515136718,2.1023749764421455e-06,0.21000000000000002,0.548776087087268,0.013163467110699247,0.31499999999999995,0.0009472544656281959,0.000546897620721514,0.10500000000000001,0.6836019726950145,0.014691777988017612
highres,subhalos,0.25,10^11 M_sol / h,11,11.5,0.00011002349853515625,2.1969576460847857e-06,0.22999999999999998,0.4855355746677093,0.01295798586303872,0.345,0.006224815059842419,0.0014672029801489062,0.11499999999999999,0.8496872556684913,0.017141804042945564
highres,subhalos,0.25,10^11 M_sol / h,12,12.5,0.00010900497436523437,2.2798601318134158e-06,0.25,0.43528598063390833,0.012791468340029423,0.375,0.0090214711012209,0.0018415000772712875,0.125,0.9968725566849093,0.019357661017597467
highres,subhalos,0.25,10^11 M_sol / h,13,13.5,0.00010392379760742187,2.3134196892579553e-06,0.27,0.40434233475672066,0.012812077152451017,0.405,0.020298309977747057,0.002870614526378301,0.135,1.0457689300535264,0.020604534407417864
highres,subhalos,0.25,10^11 M_sol / h,14,14.5,8.71734619140625e-05,2.1958677825816997e-06,0.29000000000000004,0.3309526673482896,0.012012820776589949,0.43499999999999994,0.024854152883863615,0.003292012970211883,0.14500000000000002,1.1319540506405266,0.022216541581936228
highres,subhalos,0.25,10^11 M_sol / h,15,15.5,7.698440551757813e-05,2.133522701769753e-06,0.31,0.32114933541829527,0.012234815276375982,0.46499999999999997,0.0391531845792987,0.004271962667457475,0.155,1.0417543754134833,0.022035685707629572
highres,subhalos,0.25,10^11 M_sol / h,16,16.5,6.816673278808593e-05,2.0713727118409843e-06,0.33,0.2719071389907979,0.011615297319232191,0.495,0.06351115655259512,0.005613646184917555,0.165,1.0638118722559684,0.022974837180013058
highres,subhalos,0.25,10^11 M_sol / h,17,17.5,5.420684814453125e-05,1.9022874439511308e-06,0.35,0.2547062007578041,0.011577554579900184,0.525,0.10682925362362412,0.00749794370161672,0.175,0.98461839177242,0.022763081325130125
highres,subhalos,0.25,10^11 M_sol / h,18,18.5,4.481315612792969e-05,1.778355854908385e-06,0.37,0.22531124075299194,0.011195805564855795,0.5549999999999999,0.14464425332290892,0.008970455785380619,0.185,0.9385186744451787,0.022849956479905415
highres,subhalos,0.25,10^11 M_sol / h,19,19.5,3.533363342285156e-05,1.6212182884033803e-06,0.39,0.20875684128225158,0.011064090459800542,0.585,0.2105160281469896,0.011110611017296558,0.195,0.805121188428459,0.021728311939384938
highres,subhalos,0.25,10^11 M_sol / h,20,20.5,2.5102615356445312e-05,1.4010913611486923e-06,0.41000000000000003,0.16829554339327632,0.0101857096487068,0.615,0.2607656221807901,0.012678858420781376,0.20500000000000002,0.7508570397546175,0.021514616678631814
highres,subhalos,0.25,10^11 M_sol / h,21,21.5,2.0175933837890624e-05,1.286370557934569e-06,0.43,0.1558158417032536,0.010036980693137373,0.645,0.3258555361761,0.014514759213743905,0.215,0.6277891381487936,0.020146712196666968
highres,subhalos,0.25,10^11 M_sol / h,22,22.5,1.3647079467773438e-05,1.082283801233925e-06,0.45,0.13532206651831347,0.009568715087927651,0.6749999999999999,0.3978468755638416,0.01640692862164539,0.225,0.5101641907740417,0.018579084013910164
highres,subhalos,0.25,10^11 M_sol / h,23,23.5,1.0578155517578124e-05,9.737981473663522e-07,0.47,0.13144283394478884,0.009637856194117044,0.705,0.4699434654477652,0.018223625940840135,0.235,0.45368978168040025,0.017905707421303835
highres,subhalos,0.25,10^11 M_sol / h,24,24.5,7.196426391601563e-06,8.201089000362664e-07,0.49,0.12966861129488172,0.009774139335262791,0.735,0.5746677091477711,0.02057640470754428,0.245,0.3845853130450469,0.01683284186206161
highres,subhalos,0.25,10^11 M_sol / h,25,25.5,5.155563354492187e-06,7.081710898462418e-07,0.51,0.1004540807120947,0.008776713782631246,0.765,0.6472003368015872,0.022277554320172935,0.255,0.32666746857520873,0.015827090567571783
highres,subhalos,0.25,10^11 M_sol / h,26,26.5,4.144668579101563e-06,6.472884837797946e-07,0.53,0.08606483430564738,0.008281592542354341,0.7949999999999999,0.7267697119143581,0.024065749989135195,0.265,0.2550069164611774,0.01425531999849507
highres,subhalos,0.25,10^11 M_sol / h,27,27.5,1.8882751464843748e-06,4.4507072027504093e-07,0.55,0.10667889577193714,0.009392553046821881,0.825,0.7798309977747031,0.025394791282345702,0.275,0.2298971552294459,0.013788315090354811
highres,subhalos,0.25,10^11 M_sol / h,28,28.5,1.4133453369140625e-06,3.919914678601215e-07,0.5700000000000001,0.0702772598785112,0.007760825056742577,0.855,0.8776087087267691,0.027425272147711535,0.28500000000000003,0.1894057857701338,0.012740811911306292
highres,subhalos,0.25,10^11 M_sol / h,29,29.5,5.626678466796875e-07,2.5163271078584214e-07,0.59,0.06564623804655073,0.007631220165326193,0.885,0.8454170926805822,0.02738574587675339,0.295,0.14637336861730907,0.011395151292194051
highres,subhalos,0.25,10^11 M_sol / h,30,30.5,3.490447998046875e-07,2.0152110912647535e-07,0.61,0.060534071089192225,0.007451229065417591,0.9149999999999999,0.9685451374270756,0.029804916261670367,0.305,0.10639321585373179,0.009878362098851401
highres,subhalos,0.25,10^11 M_sol / h,31,31.5,6.008148193359375e-07,2.686925555848823e-07,0.63,0.0644133036627172,0.007811260432246118,0.945,0.9652523004751298,0.030238048086524274,0.315,0.08904191976905025,0.009183972785746931
highres,subhalos,0.25,10^11 M_sol / h,32,32.5,3.719329833984375e-07,2.1473560808558848e-07,0.65,0.05766223612197023,0.00750698372543843,0.975,1.0418295543393266,0.03190935832156859,0.325,0.07623143080531658,0.008631509838084285
highres,subhalos,0.25,10^11 M_sol / h,33,33.5,2.55584716796875e-07,1.8072568641471363e-07,0.67,0.036266313826908016,0.006044385637818002,1.005,0.9953088350273642,0.0316649923091542,0.335,0.05439947074036202,0.007402830310630577
highres,subhalos,0.25,10^11 M_sol / h,34,34.5,,0.0,0.6900000000000001,0.04979852047873936,0.007187797300911314,1.0350000000000001,1.02813195405064,0.032659687871236714,0.34500000000000003,0.028011667769290892,0.005390847975683487
highres,subhalos,0.25,10^11 M_sol / h,35,35.5,,0.0,0.71,0.0352288446502678,0.006132554698746044,1.065,1.0525951765201167,0.03352145941046603,0.355,0.043769170626090294,0.006835596031420797
highres,subhalos,0.25,10^11 M_sol / h,36,36.5,1.392364501953125e-07,1.392364501953125e-07,0.73,0.045002105009923576,0.00702814803230585,1.095,1.0690743970650218,0.03425535325091405,0.365,0.019757021711673768,0.004656774676124789
