simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
midres,CDM subsample,0.00,N/A,0,0.5,,0.0,0.01,7.431421909689645e-06,2.627404413099916e-06,0.015,9.289277387112056e-07,9.289277387112056e-07,0.005,1.8578554774224113e-06,1.313702206549958e-06
midres,CDM subsample,0.00,N/A,1,1.5,,0.0,0.03,2.786783216133617e-06,2.786783216133617e-06,0.045,,0.0,0.015,0.00011983167829374552,1.827415962035281e-05
midres,CDM subsample,0.00,N/A,2,2.5,,0.0,0.05,,0.0,0.075,,0.0,0.025,0.0011983167829374556,7.460394424672792e-05
midres,CDM subsample,0.00,N/A,3,3.5,1.8021056621433296e-10,1.8021056621433296e-10,0.07,0.00010403990673565504,2.600997668391376e-05,0.105,6.50249417097844e-06,6.50249417097844e-06,0.035,0.006216384427455388,0.00020105224073381972
midres,CDM subsample,0.00,N/A,4,4.5,2.7108818031956084e-08,2.5062111136266786e-09,0.09,0.002641870488894668,0.00014861682614344553,0.135,8.360349648400852e-06,8.360349648400852e-06,0.045,0.022012800624239433,0.000428992668887451
midres,CDM subsample,0.00,N/A,5,5.5,2.206034774129456e-07,7.903939825065682e-09,0.11,0.02172390409750027,0.00047114680111613863,0.16499999999999998,1.0218205125823262e-05,1.0218205125823262e-05,0.055,0.055219180499948936,0.0007511597121973052
midres,CDM subsample,0.00,N/A,6,6.5,7.91845227945779e-07,1.6279195309478127e-08,0.13,0.09379476270540907,0.0010642702846070478,0.195,2.415212120649135e-05,1.7078128685149455e-05,0.065,0.11433614179152994,0.0011750447554947873
midres,CDM subsample,0.00,N/A,7,7.5,1.9837321685207753e-06,2.7677588818394286e-08,0.15000000000000002,0.2464909754670186,0.0018532632211317025,0.22499999999999998,1.3933916080668085e-05,1.3933916080668085e-05,0.07500000000000001,0.2125061541462691,0.0017207681187480293
midres,CDM subsample,0.00,N/A,8,8.5,3.88899550763851e-06,4.12557310329141e-08,0.16999999999999998,0.47094221140537496,0.002727088524337933,0.255,,0.0,0.08499999999999999,0.3429656946986095,0.0023272378268974258
midres,CDM subsample,0.00,N/A,9,9.5,6.630332896524339e-06,5.69489305856838e-08,0.19,0.7171925945880664,0.003557833864461798,0.28500000000000003,3.529925407102586e-05,2.496034192444923e-05,0.095,0.5053264716537696,0.0029864399802876852
midres,CDM subsample,0.00,N/A,10,10.5,9.987089369032117e-06,7.348018161435959e-08,0.21000000000000002,0.9468541862128551,0.004297760053777652,0.31499999999999995,5.8522447538806e-05,3.37879508401654e-05,0.10500000000000001,0.6745882527798167,0.0036276050700887867
midres,CDM subsample,0.00,N/A,11,11.5,1.3965160385113713e-05,9.093435433348312e-08,0.22999999999999998,1.1107625567807085,0.004871531325225546,0.345,0.00014955736593250395,5.652737099932702e-05,0.11499999999999999,0.8366452703644187,0.004227908345668108
midres,CDM subsample,0.00,N/A,12,12.5,1.7879462605122035e-05,1.0727248481715408e-07,0.25,1.190211888417199,0.005257425315909351,0.375,0.0006270262236300633,0.00012067125300059051,0.125,0.9605809514077891,0.004723108857099039
midres,CDM subsample,0.00,N/A,13,13.5,2.147504956659701e-05,1.2217717388558974e-07,0.27,1.1828222682557514,0.005446689196530126,0.405,0.0014045387409313444,0.000187689384107712,0.135,1.0372016980799055,0.005100402587599266
midres,CDM subsample,0.00,N/A,14,14.5,2.470828456814816e-05,1.3581927309801618e-07,0.29000000000000004,1.1441491486377298,0.005551767696903355,0.43499999999999994,0.003933080045703248,0.00032550402061684786,0.14500000000000002,1.0929382913303196,0.005426099904164553
midres,CDM subsample,0.00,N/A,15,15.5,2.766608059142401e-05,1.485921174114219e-07,0.31,1.0536158512229326,0.005508241343164876,0.46499999999999997,0.010136459484816666,0.0005402751058681338,0.155,1.0850043195139842,0.005589687726479759
midres,CDM subsample,0.00,N/A,16,16.5,2.9578423631357306e-05,1.585205563601102e-07,0.33,0.9426294228571951,0.00537549461921167,0.495,0.022255250764043045,0.0008259698252968323,0.165,1.0533232389852385,0.005682360315858468
midres,CDM subsample,0.00,N/A,17,17.5,3.113407847201923e-05,1.6749164023920805e-07,0.35,0.827734995494702,0.005187649748835774,0.525,0.042591336819908746,0.0011767538387565085,0.175,0.9927032726124252,0.005681129836429339
midres,CDM subsample,0.00,N/A,18,18.5,3.181488824681038e-05,1.7408332320436456e-07,0.37,0.7091629432146467,0.004937019524072401,0.5549999999999999,0.0743430158567967,0.0015984973304721372,0.185,0.9344604323229687,0.005667248891973617
midres,CDM subsample,0.00,N/A,19,19.5,3.1907078823612315e-05,1.7898512184811522e-07,0.39,0.6163862853108653,0.0047255216018203166,0.585,0.1262552136069334,0.002138690448143247,0.195,0.8410010125312345,0.005519776950580019
midres,CDM subsample,0.00,N/A,20,20.5,3.097209491735915e-05,1.8080828411724456e-07,0.41000000000000003,0.520788473864619,0.004453624280777486,0.615,0.1890210030561721,0.0026831065894693112,0.20500000000000002,0.7472480515740696,0.005334764957803418
midres,CDM subsample,0.00,N/A,21,21.5,2.9889209624977222e-05,1.8189993708445055e-07,0.43,0.4372258502011125,0.004179055213123696,0.645,0.289034008044515,0.0033978145068039585,0.215,0.6515248348830939,0.005101415307346793
