simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
midres,subhalos,0.00,10^12 M_sol / h,0,0.5,,0.0,0.01,,0.0,0.015,,0.0,0.005,,0.0
midres,subhalos,0.00,10^12 M_sol / h,1,1.5,,0.0,0.03,0.0006585603298528261,5.1901824909326675e-05,0.045,,0.0,0.015,0.0001268035417729044,2.277458841818726e-05
midres,subhalos,0.00,10^12 M_sol / h,2,2.5,,0.0,0.05,0.018052461215841448,0.00035081441497941446,0.075,,0.0,0.025,0.0015816355748018186,0.00010383946270563185
midres,subhalos,0.00,10^12 M_sol / h,3,3.5,2.7031584932149943e-09,6.979525217587205e-10,0.07,0.10639089850535437,0.001007686582953314,0.105,,0.0,0.035,0.008265409357283296,0.00028087004351389004
midres,subhalos,0.00,10^12 M_sol / h,4,4.5,4.2632671092990764e-08,3.1429222110294476e-09,0.09,0.2739815494029325,0.0018336064633372778,0.135,,0.0,0.045,0.027500006817394715,0.0005809140403257165
midres,subhalos,0.00,10^12 M_sol / h,5,5.5,2.2428492183703839e-07,7.969617667236446e-09,0.11,0.4648863267604561,0.0026405472720167768,0.16499999999999998,,0.0,0.055,0.06723723715534664,0.0010042121927673867
midres,subhalos,0.00,10^12 M_sol / h,6,6.5,7.02486531470072e-07,1.5333164069726854e-08,0.13,0.623077153819513,0.003323279033530204,0.195,,0.0,0.065,0.14162455789195236,0.001584401254079528
midres,subhalos,0.00,10^12 M_sol / h,7,7.5,1.5072039427168747e-06,2.4125301297192557e-08,0.15000000000000002,0.7186488469058577,0.0038337890605870404,0.22499999999999998,,0.0,0.07500000000000001,0.2527685439953753,0.0022736905706076125
midres,subhalos,0.00,10^12 M_sol / h,8,8.5,2.6806321724382028e-06,3.425186148711291e-08,0.16999999999999998,0.7685508127697988,0.004220704734711293,0.255,6.953742613352816e-05,4.01474516969462e-05,0.08499999999999999,0.39965476713143133,0.0030436252423885527
midres,subhalos,0.00,10^12 M_sol / h,9,9.5,4.129344914235226e-06,4.49426302820504e-08,0.19,0.780421260454474,0.004496406472113932,0.28500000000000003,0.00023315489938888898,7.771829979629634e-05,0.095,0.5691052033083448,0.0038397000232809
