simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.05,-0.5744103484041162,0.008344914230574598
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.15000000000000002,-0.5789520229786715,0.0032494221495341174
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.25,-0.5638373912260988,0.002060503322547672
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.35000000000000003,-0.529437949832685,0.0016449614445933555
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.45,-0.4630837622345573,0.0015134115405162523
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.55,-0.34467889948881325,0.0015816120293201973
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.6500000000000001,-0.1690496693881638,0.001766110576343328
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.75,0.022424037890099946,0.0019064530834937488
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.8500000000000001,0.18808667010353508,0.0019938485465173282
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.95,0.29185327474414335,0.001997024650954479
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.05,0.32965799643987426,0.001881847977489296
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.1500000000000001,0.31854104358250734,0.0017189883981837107
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.25,0.28414661018180687,0.0015561981112262033
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.35,0.23399388011204292,0.0013919238018195595
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.4500000000000002,0.18906035837027768,0.0012576703748017988
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.55,0.14791864071829508,0.0011501832913830966
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.6500000000000001,0.11465135852303354,0.001054825320259917
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.75,0.0878251108352972,0.000979432299453423
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.85,0.06690791488644221,0.0009152321452735495
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.9500000000000002,0.05049359652786789,0.0008609005714467608
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.05,0.0382008767295865,0.0008139304336150618
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.1500000000000004,0.028939525652752485,0.0007760524420928728
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.25,0.02318969829224704,0.0007432605826630494
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.3500000000000005,0.017703946871802545,0.0007107041860311194
midres,CDM tracers around subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.45,0.014505582758218116,0.0006834534976045349
