simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.05,-0.765454339495927,0.006092794918254777
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.15000000000000002,-0.7768285499057863,0.002325782400992574
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.25,-0.7680498194578483,0.0015108275080914534
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.35000000000000003,-0.7349567820324892,0.0013287769889620798
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.45,-0.6457338084775768,0.0013632472584861124
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.55,-0.4797899295083583,0.0014865018768802363
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.6500000000000001,-0.23660168919740743,0.001633232842322076
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.75,0.027427887934281303,0.0017732925962934316
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.8500000000000001,0.24601079762292621,0.0018779373715471191
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,0.95,0.3794843398939569,0.001879724061384369
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.05,0.42520652551785987,0.0017688094672824296
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.1500000000000001,0.4060190134878783,0.001606966608846172
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.25,0.3551554287944114,0.0014432081108111227
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.35,0.29124457357587685,0.001289748604223476
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.4500000000000002,0.22955033769713995,0.0011664497373128492
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.55,0.17754599049488884,0.0010688348539277205
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.6500000000000001,0.1330488857198937,0.0009896208891525364
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.75,0.09919315813461416,0.0009226239980473431
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.85,0.07254312568325849,0.000868208615139008
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,1.9500000000000002,0.05206596814666575,0.0008215190560113336
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.05,0.038742773322843815,0.0007824483502706385
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.1500000000000004,0.0282488240857921,0.0007492781842957873
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,2.25,0.02082693524825996,0.0007174715346101451
