simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.05,-0.6716558357683567,0.00948400292665129
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.15000000000000002,-0.6751411710154944,0.003801663694868963
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.25,-0.6560149374609158,0.0027600368515558
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.35000000000000003,-0.6164010496633903,0.0028871725005069804
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.45,-0.5485721085795254,0.0037059877106290287
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.55,-0.40798153440884755,0.004635404615878488
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.6500000000000001,-0.20136359425671047,0.006003039614393686
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.75,0.0469842867905399,0.007666105603578643
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.8500000000000001,0.26688338730091554,0.009075323786290829
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,0.95,0.4027420681128302,0.009555592985821084
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.05,0.44125731936533485,0.00911853121866771
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.1500000000000001,0.418204001460422,0.008090955187443788
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.25,0.38154177251475097,0.007367838597913871
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.35,0.3306249674451074,0.006669244061132389
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.4500000000000002,0.27584076237325283,0.006047156164274182
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.55,0.23011597862654676,0.00570116167222763
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.6500000000000001,0.1827433150747908,0.005127546182480668
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.75,0.1459687210176881,0.004661783912924413
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.85,0.1211195341594038,0.004355302518891698
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,1.9500000000000002,0.10192910898092089,0.004117020175992561
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,2.05,0.08643336850619265,0.0038935812621536787
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,2.1500000000000004,0.07638281946349257,0.0037484540799918695
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,2.25,0.06549497234780954,0.0035581864545422936
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,2.3500000000000005,0.06256911105733809,0.003469275528788431
highres,CDM tracers around subhalo voids,0.25,10^11 M_sol / h,radius,"[8.0, 11.0]",0,9102.0,2.45,0.05713769492339571,0.003361289267697742
