simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.05,-0.028420802785442678,0.10076585168821293
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.15000000000000002,-0.31867466694121416,0.012965173162810949
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.25,-0.4316868341820741,0.005426203982296918
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.35000000000000003,-0.5091893885829206,0.003214128848520468
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.45,-0.5076967253829365,0.0025856243572349937
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.55,-0.4045095202110873,0.002620513361320364
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.6500000000000001,-0.21861284909443301,0.0026594347215799746
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.75,0.025139821563342934,0.002813552743633703
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.8500000000000001,0.2563881848616496,0.002962162145224413
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,0.95,0.43155673689361085,0.002987170637181778
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.05,0.5322730515146932,0.0028985192994118764
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.1500000000000001,0.5696547363884095,0.0027244818416506515
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.25,0.5559386115823899,0.002566226652696159
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.35,0.507125540985196,0.002368080248721754
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.4500000000000002,0.4419805129202734,0.002154118484864645
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.55,0.38054064071617244,0.001977318808407665
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.6500000000000001,0.3183288903584325,0.0018015230655961819
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.75,0.267009581452859,0.001666119759428762
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.85,0.22224021957267825,0.0015567052280242332
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,1.9500000000000002,0.18461955410351583,0.0014425150809464948
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.05,0.1525054077524457,0.0013414561189000643
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.1500000000000004,0.1266665876582984,0.0012686267966224639
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.25,0.10629977060979656,0.0011965512400413077
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.3500000000000005,0.08985031989983394,0.0011337636944866775
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.45,0.07572032584621669,0.0010747564517251563
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.55,0.06648047138377011,0.0010290197270195831
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.6500000000000004,0.05652394487536183,0.0009772361976666888
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.75,0.050724946893049516,0.000941050348708619
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.8500000000000005,0.045173874966991656,0.0009037320682980353
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,2.95,0.04178232457794606,0.0008683042059062996
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.05,0.03750799086925771,0.0008363875632981341
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.1500000000000004,0.033287118505329394,0.0008027002098151468
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.25,0.03022594695812364,0.000774343016004731
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.3500000000000005,0.02841953187583579,0.0007523208142010699
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.45,0.02694558682897119,0.0007285567698950187
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.55,0.025040040825546006,0.0007069568592003998
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.6500000000000004,0.02321174864265596,0.0006858621487707417
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.75,0.022410836121007582,0.0006677857327916294
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.8500000000000005,0.02129369022864913,0.0006502887063772171
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,3.95,0.019712912403292204,0.0006347083406757811
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.050000000000001,0.01799130796064441,0.0006196322958138934
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.15,0.016570699430242142,0.0005998371778638775
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.25,0.014823458264647815,0.0005866996528353355
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.35,0.014192145576213067,0.0005730375527215891
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.45,0.013010123055565037,0.0005604495935344259
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.550000000000001,0.012549565074424285,0.0005487679790038593
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.65,0.012058533417086403,0.0005367720733502237
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.75,0.011808119552495278,0.0005287981366453733
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.8500000000000005,0.010727528091035277,0.0005161467804252746
midres,CDM voids,0.00,N/A,percentage_radius,"[0.0, 0.25]",0,134750.0,4.95,0.009673238557619923,0.0005041656835846779
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.05,-0.6464613719126358,0.007180840724940649
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.15000000000000002,-0.6730862068967733,0.0024914949859869105
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.25,-0.7017826900239786,0.001439738658554737
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.35000000000000003,-0.6933441807844711,0.0011735461631271896
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.45,-0.6228915051284751,0.0011685174513128456
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.55,-0.4751585084407931,0.0012654835584836798
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.6500000000000001,-0.25725253318882524,0.001423784412111431
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.75,-0.015814717687117952,0.001617417796121301
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.8500000000000001,0.18075629072381783,0.0017685570434228738
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,0.95,0.29746479862753694,0.0017846099820404589
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.05,0.3359224104221945,0.001698766086011412
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.1500000000000001,0.3251769783722247,0.0015731909770721388
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.25,0.28178785555542607,0.0014162681100697112
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.35,0.2274775222587775,0.0012762504091700327
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.4500000000000002,0.17469220098990834,0.001150856611983743
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.55,0.12853011889302968,0.0010485968236819973
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.6500000000000001,0.09256840343504713,0.0009625257844586983
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.75,0.06580009739137904,0.0008971312743995442
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.85,0.04510636714542948,0.0008433885107125848
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,1.9500000000000002,0.029788853786298697,0.0007909332531339093
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.05,0.019800859094303958,0.0007517671407596722
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.1500000000000004,0.014359960739116717,0.0007160530548161824
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.25,0.011269064908230098,0.000686081009929497
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.3500000000000005,0.008010306690358071,0.0006541762335292755
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.45,0.006304995536821956,0.0006300264676616334
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.55,0.005238759689325967,0.0006070236237942102
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.6500000000000004,0.005118430867332213,0.000583581966962943
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.75,0.004735217102117106,0.0005646508429984901
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.8500000000000005,0.004199989211595367,0.0005457083119809788
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,2.95,0.004114488082972878,0.0005291659120168625
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.05,0.0033063893326348293,0.0005116237579383509
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.1500000000000004,0.0026314213021367827,0.0004958627368107347
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.25,0.002782241976680311,0.0004821934156385701
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.3500000000000005,0.0019515954143740633,0.0004677579305576493
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.45,0.00186952948638619,0.00045544557884181586
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.55,0.0018231994478101754,0.000443526439944382
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.6500000000000004,0.0018924143331298104,0.00043064004394356166
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.75,0.0022258751242112407,0.00042055649264748204
midres,CDM voids,0.00,N/A,percentage_radius,"[0.25, 0.5]",1,134634.0,3.8500000000000005,0.0015765779208529729,0.0004097893773898269
