simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.05,-0.31864512140310897,0.03697657538137215
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.15000000000000002,-0.36862760452814813,0.011834700476269954
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.25,-0.44721718822276757,0.00607447994965165
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.35000000000000003,-0.4781251179158691,0.0043807685164468394
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.45,-0.4530203217273261,0.0034611062413436506
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.55,-0.3113510068652199,0.0034195797507952947
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.6500000000000001,-0.09492015050202574,0.0034185208845854296
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.75,0.16989515425604962,0.0034885368593750433
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.8500000000000001,0.420876354611583,0.003509550198870195
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,0.95,0.6119206129088186,0.003466343135113755
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.05,0.7241687987551686,0.003334397574837203
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.1500000000000001,0.7614233442311455,0.003182143736054445
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.25,0.7418084012314887,0.0029460140527637507
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.35,0.6861510584745087,0.002735826630188897
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.4500000000000002,0.6170706514707238,0.0025324819799673786
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.55,0.5446130990564444,0.0023318037795066545
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.6500000000000001,0.4696019637432962,0.0021442779353623223
midres,subhalo voids,0.00,10^12 M_sol / h,percentage_radius,"[0.0, 0.25]",0,91800.0,1.75,0.4050365716943989,0.0020005156035968184
